SYMBOL,PCLOSE,OPEN,HIGH,LOW,CLOSE,CHANGE,%CHANGE,TRADES,VOLUME,VALUE,DATE
ABBEYBDS,8,8,0,0,8,0,0,56,107017,795407.47,28/07/2025
ABCTRANS,4.59,4.59,5,4.7,5,0.41,8.93,223,1931997,9279340.37,28/07/2025
ACADEMY,9.31,9.31,10.24,8.81,10.24,0.93,9.99,301,4208149,42259842.35,28/07/2025
ACCESSCORP,27.7,27.7,28.95,27.3,27.3,-0.4,-1.44,1969,29060943,816795403.7,28/07/2025
AFRIPRUD,16.2,16.2,16,15.4,15.4,-0.8,-4.94,246,4659741,73677027.8,28/07/2025
AIICO,2.22,2.22,2.3,2.25,2.29,0.07,3.15,495,13611817,31096078.09,28/07/2025
AIRTELAFRI,2310.5,2310.5,0,0,2310.5,0,0,5,73,185529.5,28/07/2025
ALEX,7.15,7.15,0,0,7.15,0,0,18,45428,293231.1,28/07/2025
ARADEL,507,507,0,0,507,0,0,551,1466933,748659644,28/07/2025
AUSTINLAZ,2.34,2.34,2.35,2.34,2.34,0,0,15,767859,1834265.22,28/07/2025
BERGER,31,31,0,0,31,0,0,91,380365,12091429.85,28/07/2025
BETAGLAS,350,350,0,0,350,0,0,364,273881,104288890.3,28/07/2025
BUACEMENT,135,135,0,0,135,0,0,722,2013563,261343047.5,28/07/2025
BUAFOODS,459,459,0,0,459,0,0,277,43096,19246540.6,28/07/2025
CADBURY,68.55,68.55,68.4,66,68.4,-0.15,-0.22,466,4458728,301957700,28/07/2025
CAP,66.5,66.5,0,0,66.5,0,0,62,136809,9086122.9,28/07/2025
CAVERTON,7,7,7.15,7.05,7.06,0.06,0.86,160,3077281,21975710.45,28/07/2025
CHAMPION,12.32,12.32,13.55,13.55,13.55,1.23,9.98,173,2861187,38755951.41,28/07/2025
CHAMS,3,3.03,3.1,3,3,0,0,449,9980260,30495330.18,28/07/2025
CONHALLPLC,3.22,3.22,3.4,3.22,3.39,0.17,5.28,266,13286162,43833720.37,28/07/2025
CONOIL,234.5,234.5,0,0,234.5,0,0,68,101388,21403006.8,28/07/2025
CORNERST,4.94,4.94,4.9,4.6,4.9,-0.04,-0.81,113,3489502,16097297.82,28/07/2025
CUSTODIAN,30.5,30.5,0,0,30.5,0,0,87,160200,5181079.7,28/07/2025
CUTIX,4.1,4.1,4.09,3.75,3.9,-0.2,-4.88,530,15173811,58850285.72,28/07/2025
CWG,17.8,17.8,17.95,17.8,17.95,0.15,0.84,314,4455033,79572812.55,28/07/2025
DAARCOMM,0.81,0.81,0.89,0.81,0.89,0.08,9.88,187,7111651,6291053.2,28/07/2025
DANGCEM,493,493,500,494.5,494.5,1.5,0.3,1076,3004863,1489917265,28/07/2025
DANGSUGAR,58.6,58.6,59,58.4,58.85,0.25,0.43,859,3598433,211052580.2,28/07/2025
DEAPCAP,1.25,1.28,1.3,1.16,1.3,0.05,4,100,6114240,7544051.74,28/07/2025
ELLAHLAKES,9.8,10,10,8.82,8.91,-0.89,-9.08,975,25224311,228778397,28/07/2025
ENAMELWA,27,27,0,0,27,0,0,17,55500,1473397.1,28/07/2025
ETERNA,42.25,42.25,0,0,42.25,0,0,98,273340,11009592,28/07/2025
ETI,32,32,34.9,34,34,2,6.25,157,1207085,40622921.6,28/07/2025
ETRANZACT,9.45,9.45,0,0,9.45,0,0,62,239287,2371498.05,28/07/2025
EUNISELL,17.9,17.9,0,0,17.9,0,0,32,30687,555325.95,28/07/2025
FCMB,9.8,9.8,10.05,9.75,9.8,0,0,858,68404627,670143987.6,28/07/2025
FIDELITYBK,21.2,21.2,21.25,20.95,21,-0.2,-0.94,1061,123009502,2584018460,28/07/2025
FIDSON,43.9,43.9,0,0,43.9,0,0,263,621895,25965557.4,28/07/2025
FIRSTHOLDCO,36.2,36.2,36,35,35.05,-1.15,-3.18,662,8621557,303601100.3,28/07/2025
FTNCOCOA,7.24,7.24,7.25,6.96,7,-0.24,-3.31,455,4759316,33624557.52,28/07/2025
GEREGU,1141.5,1141.5,0,0,1141.5,0,0,100,1003578,1031076037,28/07/2025
GTCO,94,94,95,94,94.1,0.1,0.11,1324,15610845,1471524605,28/07/2025
GUINEAINS,0.89,0.89,0.97,0.91,0.97,0.08,8.99,130,8062591,7672156.06,28/07/2025
GUINNESS,106.45,106.45,0,0,106.45,0,0,39,160745,18815202.25,28/07/2025
HMCALL,4.3,4.3,0,0,4.3,0,0,29,216995,997110.22,28/07/2025
HONYFLOUR,27,27,27,27,27,0,0,575,3400507,91880030.75,28/07/2025
